YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201505,94085,566121,1,.87,"NE","FRAMETOWN",38.6389,-80.8587,3838334,8051522
201505,94086,565878,1,.5,"NNE","STEWART",39.3062,-81.8952,3918372,8153712
201505,94086,565878,2,1.44,"ESE","STEWART",39.2932,-81.8746,3917592,8152476
201505,94086,565886,1,0,"N","MIDDLEPORT",39,-82.05,3900,823000
201505,94086,566116,1,3.37,"ENE","COVE",39.0319,-82.6892,391914,8241352
201505,94086,566117,1,.25,"ENE","LOTTRIDGE",39.2308,-81.8955,3913848,8153730
201505,94086,566118,1,4.06,"N","SHADE",39.2781,-82.0417,3916686,822502
201505,94094,565903,1,5.23,"NNE","DOLAN SPGS",35.6938,-114.179,3541628,11410740
201505,94094,565903,2,5.86,"NNE","DOLAN SPGS",35.7023,-114.1746,3542138,11410476
201505,94094,565903,3,7.24,"NNE","DOLAN SPGS",35.7172,-114.1519,3543032,1149114
201505,94094,565903,4,8.26,"NNE","DOLAN SPGS",35.7315,-114.1471,3543890,1148826
201505,94094,565903,5,8.99,"NNE","DOLAN SPGS",35.7343,-114.1235,3544058,1147410
201505,94094,565903,6,8.6,"NNE","DOLAN SPGS",35.7253,-114.1184,3543518,1147104
201505,94095,565902,1,6.62,"N","BANNOCK",35.0455,-114.8391,352730,11450346
201505,94095,565902,2,6.85,"N","ARROWHEAD JCT",35.0491,-114.8167,352946,11449002
201505,94095,565902,3,2.85,"N","ARROWHEAD JCT",34.9912,-114.8181,3459472,11449086
201505,94095,565902,4,3.13,"NNW","BANNOCK",34.9935,-114.8456,3459610,11450736
201505,94098,565931,1,2.81,"WSW","WARWICK",39.9919,-97.932,3959514,9755920
201505,94098,565931,2,2.28,"W","WARWICK",40.002,-97.923,40120,9755380
201505,94098,565932,1,2.84,"NW","COURTLAND",39.814,-97.93,3948840,9755800
201505,94098,565932,2,4.3,"N","COURTLAND",39.8416,-97.9122,3950496,9754732
201505,94098,565933,1,5.28,"N","COURTLAND",39.8563,-97.8952,3951378,9753712
201503,92656,555266,2,4.16,"WSW","FRIERSON",32.2299,-93.7672,3213794,9346032
201503,92656,555266,3,4.11,"WSW","FRIERSON",32.2285,-93.7656,3213710,9345936
201503,92656,555266,4,4.27,"NNE","REEDS STORE",32.2266,-93.7705,3213596,9346230
201503,92656,555267,2,2.9,"N","LOLA",31.892,-93.7808,3153520,9346848
201503,92656,555267,3,.77,"SE","CATUNA",31.8922,-93.7106,3153532,9342636
201503,92656,555267,1,2.45,"N","LOLA",31.8854,-93.7805,3153124,9346830
201501,91258,547092,1,.17,"ESE","FLORENCE",34.7988,-87.6674,3447928,8740044
201501,91258,547092,2,.21,"ESE","FLORENCE",34.7991,-87.6665,3447946,8739990
201501,91258,547092,3,.26,"ESE","FLORENCE",34.7983,-87.666,3447898,8739960
201501,91258,547092,4,.23,"SE","FLORENCE",34.7979,-87.6669,3447874,8740014
201501,91258,547092,5,.82,"SSW","FLORENCE",34.7884,-87.6731,3447304,8740386
201501,91258,547092,6,.61,"SSW","FLORENCE",34.7926,-87.6759,3447556,8740554
201501,91258,559276,1,.75,"WNW","ALBERTVILLE",34.2738,-86.2324,3416428,8613944
201501,91258,559276,2,.81,"N","ALBERTVILLE",34.2818,-86.2197,3416908,8613182
201501,91258,560004,1,1.5,"SE","RABBIT TOWN",34.2645,-86.2516,3415870,8615096
201501,91258,560004,2,1.54,"SE","HUSTLERVILLE",34.3049,-86.1503,3418294,869018
201501,91259,555980,1,2.05,"SE","CUMBERLAND SPGS",35.3084,-86.2753,3518504,8616518
201501,91259,555980,2,2.09,"SE","CUMBERLAND SPGS",35.3089,-86.2735,3518534,8616410
201501,91259,555980,3,2.13,"SE","CUMBERLAND SPGS",35.3082,-86.2732,3518492,8616392
201501,91259,555980,4,2.09,"SE","CUMBERLAND SPGS",35.3077,-86.2749,3518462,8616494
201501,91270,552424,1,1.9,"ENE","LEWES DE",38.783,-75.119,3846980,757140
201501,91270,552425,1,.99,"SSW","NORTH CAPE MAY",38.968,-74.96,3858080,7457600
201501,91270,552427,1,17.77,"N","BOWERS BEACH DE",39.305,-75.377,3918300,7522620
201501,91270,552428,1,2.07,"SW","OCEAN CITY",39.2554,-74.602,3915324,7436120
201501,91270,552429,1,4.17,"WSW","BEACH HAVEN",39.5218,-74.3191,3931308,7419146
201501,91276,552409,1,0,"N","MILLVILLE",39.4,-75.03,3924000,751800
201501,91276,552410,1,.88,"SSW","OCEAN CITY MUNI ARPT",39.2584,-74.6068,3915504,7436408
201501,91686,555140,1,4.89,"S","PT. PLEASANT",40.0096,-74.059,40576,743540
201501,91687,555901,1,.52,"WSW","COOCH",39.6462,-75.7384,3938772,7544304
201501,91687,555901,3,.13,"NNE","COOCHS BRIDGE",39.6318,-75.729,3937908,7543740
201501,91687,555901,4,1.15,"W","BEAR",39.6278,-75.6914,3937668,7541484
201501,91687,555901,6,1.31,"N","BEAR",39.6487,-75.666,3938922,7539960
201501,91687,555901,7,1.03,"S","CHRISTIANA",39.6553,-75.6729,3939318,7540374
201501,91688,555911,1,1.66,"S","HARTFORD",39.9562,-74.8957,3957372,7453742
201501,91688,555911,2,1.55,"SSE","HARTFORD",39.9605,-74.8857,3957630,7453142
201501,91688,555911,4,1.07,"SE","HARTFORD",39.9687,-74.8861,3958122,7453166
201501,91688,555911,5,.96,"SE","HARTFORD",39.9686,-74.8896,3958116,7453376
201501,91688,555912,1,1.77,"SSW","PRINCETON",40.3257,-74.6807,4019542,7440842
201501,91688,555912,2,1.75,"N","CLARKSVILLE",40.3253,-74.6781,4019518,7440686
201501,91688,555912,3,1.14,"N","CLARKSVILLE",40.3163,-74.6823,4018978,7440938
201501,91688,555912,4,.61,"N","CLARKSVILLE",40.3088,-74.6791,4018528,7440746
201501,91688,555912,5,.47,"NNW","CLARKSVILLE",40.3062,-74.6839,4018372,7441034
201501,91688,555913,1,.81,"SSW","BRANCHBURG PARK",40.5592,-74.6859,4033552,7441154
201501,91688,555913,2,1.94,"WSW","BRANCHBURG PARK",40.5605,-74.7148,4033630,7442888
201501,91688,555913,3,1.27,"SW","NESHANIC STATION",40.5071,-74.7471,4030426,7444826
201501,91688,555913,4,1.47,"W","NESHANIC",40.4988,-74.748,4029928,7444880
201501,91688,555913,5,.98,"S","GRIGGSTOWN",40.4358,-74.6202,4026148,7437212
201501,91688,555913,6,.87,"SSE","GRIGGSTOWN",40.4382,-74.6141,4026292,7436846
201501,91688,555913,7,2.01,"SSE","EAST MILLSTONE",40.4716,-74.5617,4028296,7433702
201501,91688,555914,1,.62,"ESE","COPPER HILL",40.477,-74.8388,4028620,7450328
201501,91688,555914,3,.81,"SE","COPPER HILL",40.4713,-74.8397,4028278,7450382
201501,91688,555914,4,1.13,"SSW","REAVILLE",40.4645,-74.827,4027870,7449620
201501,91688,555914,5,.91,"NNW","WERTSVILLE",40.4618,-74.8077,4027708,7448462
201501,91688,555914,6,.93,"N","WERTSVILLE",40.4633,-74.7979,4027798,7447874
201501,91688,555914,7,1.07,"SE","REAVILLE",40.4703,-74.8041,4028218,7448246
201501,91688,555914,8,.45,"WSW","REAVILLE",40.4764,-74.8272,4028584,7449632
201501,91688,555915,1,1.33,"N","MILLTOWN ZIGFIELD AR",40.4191,-74.4325,4025146,7425950
201501,91689,555902,2,.46,"W","FLORIDA PARK",39.9791,-75.4385,3958746,7526310
201501,91689,555902,3,.39,"W","FLORIDA PARK",39.9796,-75.4374,3958776,7526244
201501,91689,555902,4,.14,"N","EDGEMONT",39.9721,-75.4297,3958326,7525782
201501,91689,555902,5,.6,"SE","EDGEMONT",39.9644,-75.4213,3957864,7525278
201501,91689,555902,6,.55,"SSE","EDGEMONT",39.9623,-75.4272,3957738,7525632
201501,91689,555904,1,1.09,"WSW","TORRESDALE",40.0442,-75.0192,402652,751152
201501,91689,555904,2,.85,"W","TORRESDALE",40.0512,-75.0161,403072,75966
201501,91689,555904,4,1.82,"W","TORRESDALE",40.0504,-75.0343,403024,752058
201501,91689,555904,5,1.36,"S","BUSTLETON",40.0606,-75.0336,403636,752016
201501,91689,555904,6,1.47,"SSW","BUSTLETON",40.06,-75.0393,403600,752358
201501,91689,555904,7,1.98,"SSW","BUSTLETON",40.0533,-75.0434,403198,752604
201501,91689,555904,8,1.67,"NNW","TACONY",40.0431,-75.0393,402586,752358
201501,92564,555984,1,.68,"SSE","SPRINGFIELD",40.6909,-74.2952,4041454,7417712
201501,92564,555984,2,.77,"SSE","SPRINGFIELD",40.6896,-74.2948,4041376,7417688
201501,92564,555984,4,.28,"SE","UNION",40.6971,-74.2462,4041826,7414772
201501,92564,555984,5,.19,"ESE","UNION",40.6986,-74.2468,4041916,7414808
201501,92565,555981,1,1.05,"ESE","FLEETWOOD",40.9152,-73.8108,4054912,7348648
201501,92565,555981,2,1.09,"W","EAST CHESTER",40.9309,-73.8008,4055854,7348048
201501,92565,555981,3,1.35,"WNW","EAST CHESTER",40.935,-73.805,4056100,7348300
201501,92565,555981,4,1.44,"NW","EAST CHESTER",40.9458,-73.7979,4056748,7347874
201501,92565,555981,5,1.49,"E","TUCKAHOE",40.9463,-73.8018,4056778,7348108
201501,92565,555981,7,.92,"ESE","FLEETWOOD",40.9161,-73.8131,4054966,7348786
201501,92565,555982,1,.6,"ENE","FLEETWOOD",40.9227,-73.819,4055362,7349140
201501,92565,555982,2,1.15,"E","FLEETWOOD",40.9227,-73.8083,4055362,7348498
201501,92565,555982,3,1.15,"E","FLEETWOOD",40.9211,-73.8081,4055266,7348486
201501,92565,555982,4,.56,"ENE","FLEETWOOD",40.9218,-73.8195,4055308,7349170
201503,92749,555910,1,.9,"SW","HALE CENTER",34.06,-101.84,343600,10150400
201503,92796,556200,1,5.71,"WNW","REEDSPORT",43.74,-124.2,4344400,12412000
201503,92796,556200,2,6.49,"NW","REEDSPORT",43.7647,-124.1943,4345882,12411658
201503,92802,556296,1,.55,"W","MONETT",36.92,-93.93,3655200,9355800
201503,92802,556297,1,.55,"W","MONETT",36.92,-93.93,3655200,9355800
201503,92802,556298,1,0,"N","PURDY",36.82,-93.92,3649200,9355200
201503,92802,556299,1,1.78,"ESE","MINDENMINES",37.47,-94.57,3728200,9434200
201503,92802,556300,1,1.49,"NNW","OAKTON",37.49,-94.38,3729400,9422800
201503,92802,556301,1,2.76,"N","KENOMA",37.47,-94.2,3728200,9412000
201503,92802,556302,1,1.79,"WSW","NIXA",37.04,-93.33,372400,9319800
201503,92802,556303,1,.88,"SE","BUFFALO",37.64,-93.09,3738400,935400
201503,92802,556304,1,.88,"SE","BUFFALO",37.64,-93.09,3738400,935400
201503,92802,556305,1,1.1,"W","ASH GROVE",37.32,-93.6,3719200,9336000
201503,92802,556306,1,3.37,"WNW","BOIS D ARC",37.26,-93.58,3715600,9334800
201503,92802,556307,1,2.07,"N","ELWOOD",37.26,-93.43,3715600,9325800
201503,92802,556308,1,1.65,"E","(SGF)SPRINGFIELD ARP",37.25,-93.35,3715000,9321000
201503,92802,556309,1,.55,"W","CARTERVILLE",37.15,-94.46,379000,9427600
201503,92802,556310,1,.55,"E","DUENWEG",37.08,-94.41,374800,9424600
201503,92802,556311,1,.88,"SE","CARTHAGE",37.16,-94.31,379600,9418600
201503,92802,556312,1,2.74,"E","PHILLIPSBURG",37.55,-92.75,3733000,9245000
201503,92802,556313,1,.55,"E","LEBANON",37.68,-92.66,3740800,9239600
201503,92802,556314,1,.88,"NE","SLEEPER",37.76,-92.59,3745600,9235400
201503,92802,556315,1,5.17,"WNW","HAZELGREEN",37.81,-92.51,3748600,9230600
201503,92802,556316,1,2.83,"ENE","COMPETITION",37.49,-92.38,3729400,9222800
201503,92802,556317,1,1.1,"E","AGNES",37.52,-92.48,3731200,9228800
201503,92802,556318,1,.55,"W","VERONA",36.97,-93.81,3658200,9348600
201503,92802,556319,1,.69,"N","GOODMAN",36.74,-94.4,3644400,9424000
201503,92802,556320,1,2.65,"NW","MONARK SPGS",36.9,-94.33,3654000,9419800
201503,92802,556321,1,1.1,"E","GRANBY",36.92,-94.25,3655200,9415000
201503,92802,556322,1,.55,"W","MONARK SPGS",36.87,-94.31,3652200,9418600
201503,92802,556323,1,1.64,"E","BOLIVAR MEM ARPT",37.6,-93.4,3736000,9324000
201503,92802,556324,1,.88,"SE","PLEASANT HOPE",37.46,-93.27,3727600,9316200
201503,92802,556325,1,.55,"E","HALF WAY",37.62,-93.24,3737200,9314400
201503,92802,556326,1,2.15,"SE","HALF WAY",37.6,-93.22,3736000,9313200
201503,92802,556327,1,.54,"E","MONEGAW SPGS",38.03,-93.84,381800,9350400
201503,92802,556328,1,.89,"SW","LAMPE",36.56,-93.44,3633600,9326400
201503,92802,556329,1,.69,"S","BRANSON",36.64,-93.22,3638400,9313200
201503,92802,556330,1,1.8,"ENE","RIDGEDALE",36.53,-93.22,3631800,9313200
201503,92700,555481,4,3.33,"SW","CARLIN BAY",47.5119,-116.8139,4730714,11648834
