date,maxTemp,minTemp,precip,snow
1893-03-01,26,4,0,0
1893-03-02,20,9,0,0
1893-03-03,10,0,0,0
1893-03-04,18,-9,0,0
1893-03-05,29,-10,0,0
1893-03-06,23,-9,0,0
1893-03-07,46,15,70,5
1893-03-08,40,23,0,0
1893-03-09,43,20,0,0
1893-03-10,50,29,40,3
1893-03-11,40,30,0,0
1893-03-12,41,29,0,0
1893-03-13,37,12,0,0
1893-03-14,41,5,0,0
1893-03-15,22,7,0,0
1893-03-16,24,12,0,0
1893-03-17,35,8,0,0
1893-03-18,36,10,0,0
1893-03-19,37,29,0,0
1893-03-20,44,33,0,0
1893-03-21,41,34,0,0
1893-03-22,47,23,90,6
1893-03-23,53,31,0,0
1893-03-24,35,22,0,0
1893-03-25,41,19,0,0
1893-03-26,39,24,0,0
1893-03-27,41,22,0,0
1893-03-28,47,27,0,0
1893-03-29,54,33,0,0
1893-03-30,56,39,0,0
1893-03-31,66,34,0,0
1893-06-18,88,55,0,0
1893-06-19,91,68,0,0
1893-06-20,90,65,0,0
1893-06-21,86,65,87,0
1893-06-22,79,52,0,0
1893-06-23,80,53,0,0
1893-06-24,81,63,25,0
1893-06-25,79,57,0,0
1893-06-26,80,53,0,0
1893-06-27,82,56,0,0
1893-06-28,85,54,0,0
1893-06-29,86,59,0,0
1893-06-30,81,63,0,0
1893-08-01,83,53,0,0
1893-08-02,85,55,0,0
1893-08-03,87,58,0,0
1893-08-04,89,64,0,0
1893-08-05,86,59,0,0
1893-08-06,79,48,0,0
1893-08-07,82,56,0,0
1893-08-08,93,62,0,0
1893-08-09,93,62,0,0
1893-08-10,84,56,42,0
1893-08-11,72,46,0,0
1893-08-12,76,53,0,0
1893-08-13,76,51,0,0
1893-08-14,82,68,0,0
1893-08-15,81,65,0,0
1893-08-16,79,48,0,0
1893-08-17,85,55,0,0
1893-08-18,77,45,0,0
1893-08-19,80,52,0,0
1893-08-20,82,57,0,0
1893-08-21,81,62,6,0
1893-08-22,87,65,2,0
1893-08-23,88,65,0,0
1893-08-24,76,53,0,0
1893-08-25,65,47,0,0
1893-08-26,83,61,0,0
1893-08-27,76,49,0,0
1893-08-28,64,40,0,0
1893-08-29,74,38,0,0
1893-08-30,78,42,0,0
1893-08-31,81,54,0,0
1893-10-01,69,51,0,0
1893-10-02,59,41,0,0
1893-10-03,59,40,0,0
1893-10-04,63,44,0,0
1893-10-05,70,49,130,0
1893-10-06,58,36,70,0
1893-10-07,69,44,0,0
1893-10-08,78,43,0,0
1893-10-09,74,56,0,0
1893-10-10,83,62,0,0
1893-10-11,79,46,50,0
1893-10-12,57,50,0,0
1893-10-13,59,41,0,0
1893-10-14,46,32,0,0
1893-10-15,62,34,0,0
1893-10-16,66,43,0,0
1893-10-17,68,42,0,0
1893-10-18,69,45,0,0
1893-10-19,56,42,0,0
1893-10-20,62,34,0,0
1893-10-21,75,54,0,0
1893-10-22,76,59,0,0
1893-10-23,80,28,0,0
1893-10-24,46,24,0,0
1893-10-25,51,37,15,0
1893-10-26,43,27,0,0
1893-10-27,57,23,8,0
1893-10-28,38,16,0,0
1893-10-29,38,14,0,0
1893-10-30,37,20,0,0
1893-10-31,63,32,0,0
1893-11-01,72,33,0,0
1893-11-02,37,20,0,0
1893-11-03,49,18,0,0
1893-11-04,53,27,0,0
1893-11-05,65,26,0,0
1893-11-06,79,39,0,0
1893-11-07,63,29,0,0
1893-11-08,64,27,0,0
1893-11-09,64,29,0,0
1893-11-10,62,42,0,0
1893-11-11,61,32,0,0
1893-11-12,38,24,0,0
1893-11-13,42,18,0,0
1893-11-14,39,13,0,0
1893-11-15,30,26,0,0
1893-11-16,52,25,0,0
1893-11-17,47,8,0,0
1893-11-18,32,20,0,0
1893-11-19,32,18,0,0
1893-11-20,55,31,0,0
1893-11-21,36,21,40,4
1893-11-22,22,7,0,0
1893-11-23,12,-7,0,0
1893-11-24,12,-6,0,0
1893-11-25,32,10,90,8
1893-11-26,33,31,6,1
1893-11-27,35,21,0,0
1893-11-28,33,20,0,0
1893-11-29,22,10,0,0
1893-11-30,10,-13,15,2
1893-12-01,4,-8,0,0
1893-12-02,12,-1,2,1
1893-12-03,12,-7,0,0
1893-12-04,36,11,0,0
1893-12-05,23,1,0,0
1893-12-06,16,9,2,1
1893-12-07,29,14,0,0
1893-12-08,33,23,0,0
1893-12-09,36,3,2,1
1893-12-10,14,5,28,3
1893-12-11,20,-7,0,0
1893-12-12,-4,-13,0,0
1893-12-13,23,-12,0,0
